MovieID,Year,Class,G,PG,PG-13,R,NR,CompHigh,CompMed,CompLow,StarHigh,StarMed,StarLow,Sci_Fi,HistEpicDrama,ModernDrama,Political,Thriller,Horror,Comedy,Cartoon,Action,Docum,TechHigh,TechMedium,TechLow,Sequel,NoScreens,Revenue,LT_1M,1M_10M,10M_20M,20M_40M,40M_65M,65M_100M,100M_150M,150M_200M,GT_200M
139,2005,8,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3619,,0,0,0,0,0,0,0,1,0
140,2004,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,3312,84133000,0,0,0,0,0,0,1,0,0
141,2004,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3006,14018000,0,0,1,0,0,0,0,0,0
142,2005,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3204,,0,0,0,1,0,0,0,0,0
143,2004,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,55,1511000,0,1,0,0,0,0,0,0,0
144,2005,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3210,,0,0,0,0,1,0,0,0,0
145,2004,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2163,18225000,0,0,1,0,0,0,0,0,0
146,2005,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2789,,0,0,1,0,0,0,0,0,0
147,2005,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,27,,0,1,0,0,0,0,0,0,0
148,2004,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,63,1585000,0,1,0,0,0,0,0,0,0
149,2004,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3104,84790000,0,0,0,0,0,1,0,0,0
150,2005,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2655,,0,0,0,1,0,0,0,0,0
151,2005,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3052,,0,0,0,0,1,0,0,0,0
152,2005,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,53,,1,0,0,0,0,0,0,0,0
153,2004,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,127,2712000,0,1,0,0,0,0,0,0,0
154,2005,4,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2189,,0,0,0,1,0,0,0,0,0
155,2005,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3853,,0,0,0,0,0,0,0,0,1
156,2004,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,675,13464000,0,0,1,0,0,0,0,0,0
157,2004,6,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3054,85974000,0,0,0,0,0,1,0,0,0
158,2004,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,328,7653000,0,1,0,0,0,0,0,0,0
159,2004,5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1963,45490000,0,0,0,0,1,0,0,0,0
